type,size,cores,blockSize,time,energy,L1_DCM,L2_DCM,FP_INS,TOT_INS,seq_time,speedup,time_s,edp,power_efficiency,instantaneous_power,gflops,joules_per_gflop,cache_miss_rate
Parallel,1024,1,64,117.054505,2.03705,187721621,3308548,2147483650,1431421562,113.591071,0.9704117838096021,0.117054505,0.23844587941024997,0.0574627549642866,17.402576688526423,18.34601451691244,0.11103501515940298,0.1311434911862813
Parallel,2048,1,64,994.937664,15.554372,1516485456,26570333,17179869186,11451153833,920.639072,0.9253233698066133,0.994937664,15.475630542667009,0.0639651452337645,15.633514101241222,17.267281967124326,0.9008002550496608,0.13243079938632765
Parallel,3072,1,64,3377.861558,50.610663,5092297630,90361219,57982058498,38647616841,3113.594459,0.9217649703925491,3.377861558,170.95581297259298,0.06674209262976856,14.983048337234429,17.165315244693044,2.9484260719095836,0.13176226754032985
Parallel,4096,1,64,8093.431016,124.158359,12162142311,215039632,137438953474,91609145830,7472.435349,0.9232716426726383,8.093431016,1004.8671136262628,0.06518635620820343,15.340633503213885,16.981543822427756,7.311370526631529,0.13276122379275765
Parallel,5120,1,64,15685.688488,239.448234,23556327797,403196416,268435456002,178924094930,14639.75145,0.933319022700204,15.685688488,3755.9104075257305,0.06550763906657169,15.265395215720671,17.113399657615336,13.991856603047736,0.1316554252026027
Parallel,6144,1,64,27744.16399,402.487432,40926442008,558740707,463856467970,309180819122,25542.947952,0.9206602138455713,27.74416399,11166.677317321974,0.06893175235841899,14.50710254398262,16.719064525973486,24.07356173395501,0.13237057241850048
Parallel,7168,1,64,44126.823528,668.768393,64829634058,859741140,736586891266,490967671973,41376.450127,0.9376711673058724,44.126823528,29510.62485901515,0.0659822204366647,15.1555978774598,16.692497496372248,40.06401038222964,0.13204460855330044
Parallel,8192,1,64,66654.993278,1012.406445,97229102820,1309546516,1099511627778,732873008967,62302.208832,0.9346967986652447,66.65499327799999,67481.94478607886,0.06583817557384278,15.188756238824087,16.495562803378192,61.374471248272,0.1326684181711733
Parallel,1024,2,64,64.252038,1.563548,94076775,1649668,1073741826,715891069,113.591071,1.7678983349913353,0.064252038,0.100461145510824,0.04109374192541578,24.334605542006308,33.42280984145592,0.04678086634298041,0.13141213666963625
Parallel,2048,2,64,557.219284,10.290239,753867486,12947946,8589934594,5725580992,920.639072,1.652202460387211,0.557219284,5.733919607768875,0.05415027619863834,18.467126489470168,30.83143329260658,0.3337580482340927,0.13166654826005122
Parallel,3072,2,64,1909.221265,33.622132,2545448507,43852324,28991029250,19323812648,3113.594459,1.6308190758602303,1.909221265,64.19208938903698,0.05678465794495126,17.610390485567947,30.369480771522834,1.107102628884164,0.13172599804021864
Parallel,4096,2,64,4740.605796,82.942488,6081088993,84823369,68719476738,45806677594,7472.435349,1.5762616995711913,4.740605796,393.1976393474604,0.057155336309660736,17.49617908959752,28.99185449842031,2.8608893578891035,0.13275551322230217
Parallel,5120,2,64,8964.194737,155.29861,11778722152,204382383,134217728002,89462052601,14639.75145,1.6331362581374944,8.964194737,1392.1269824254155,0.05772231146820953,17.324323551227646,29.94529501819322,5.18607714185646,0.13166165775932956
Parallel,6144,2,64,15990.572808,277.977323,20414549383,309811321,231928233986,154592515695,25542.947952,1.5973754197986576,15.990572808000001,4445.016622404433,0.05752473847659868,17.383825228632798,29.00812081828207,9.582741493023832,0.13205393088547993
Parallel,7168,2,64,25820.849982,448.897867,32343763260,453297705,368293445634,245485943472,41376.450127,1.602443380285466,25.820849982,11590.924481046788,0.05752054505084115,17.38509256329407,28.526825870468357,15.735990714084656,0.13175403366298696
Parallel,8192,2,64,38782.616288,674.313684,48474870998,715249949,549755813890,366438613496,62302.208832,1.6064467742285184,38.782616288,26151.648864319683,0.05751420623402328,17.387008627590813,28.35063059209359,23.784786084724768,0.13228647094673374
Parallel,1024,3,64,42.775537,1.579569,62464657,1108511,716177410,477879437,113.591071,2.6555147864070063,0.042775537,0.067566912203553,0.02708051183582357,36.92692390980387,50.203546199782366,0.03146329531611549,0.13071216747080916
Parallel,2048,3,64,395.239472,9.416795,502859871,6903949,5726797826,3817173287,920.639072,2.3293196586397626,0.395239472,3.72188908373224,0.04197176130519991,23.825542910349807,43.46698748752503,0.21664245774342214,0.13173619146727514
Parallel,3072,3,64,1399.571937,26.512957,1699277019,32093370,19327352834,12882556082,3113.594459,2.2246762575663164,1.399571937,37.106790584087705,0.052788224904524984,18.94361861586826,41.42842319365539,0.6399702174535178,0.1319052685029095
Parallel,4096,3,64,3511.725714,66.797678,4059158937,58473372,45813334018,30536621257,7472.435349,2.1278527873660695,3.511725714,234.57512346809213,0.052572571669332574,19.021325536246025,39.137154967450854,1.706758655695682,0.1329275725312769
Parallel,5120,3,64,6826.925783,129.045176,7855236916,115362020,89478660098,59643588573,14639.75145,2.1444134468921616,6.826925783,880.9818392061728,0.05290337844941992,18.902384484879054,39.3201075465683,3.281913098715889,0.13170295590758568
Parallel,6144,3,64,11896.017988,223.70268,13592605272,209617908,154618822658,103060281254,25542.947952,2.1471847115367693,11.896017987999999,2661.1711052438072,0.05317780720374025,18.8048370661223,38.99258293286973,5.73705723432403,0.13188985229430897
Parallel,7168,3,64,18965.073768,356.427307,21664266830,336287317,245529313282,163656133488,41376.450127,2.181718385763149,18.965073768,6759.670170184582,0.05320881255599196,18.793879283580964,38.839126083804224,9.17701665662938,0.13237674854140752
Parallel,8192,3,64,28610.284932,539.353836,32315949222,505910503,366504050690,244293231001,62302.208832,2.1776158112398347,28.610284932,15431.066927127198,0.05304548335872038,18.851746401055383,38.43064235079391,14.034473612925648,0.13228344104985748
