type,blockSize,size,time,,,,,,,,,,
Parallel,8,1024,648.865707,,,,,,,,,,
Parallel,8,2048,4286.267231,,,,,,,,,,
Parallel,8,3072,15916.38977,,,Sum of time,Column Labels,,,,,,
Parallel,8,4096,39517.32482,,,Row Labels,8,16,32,64,128,Grand Total,
Parallel,8,5120,79464.92565,,,1024,648.865707,443.621526,419.838674,425.620257,387.148606,2325.09477,
Parallel,8,6144,142759.8211,,,2048,4286.267231,3794.319483,3894.496859,3659.777236,3346.387366,18981.24818,
Parallel,8,7168,233181.4079,,,3072,15916.38977,12954.5956,12667.91184,12948.38887,11137.10921,65624.39529,
Parallel,8,8192,358170.6651,,,4096,39517.32482,31791.31503,30121.81607,30454.72054,26342.18744,158227.3639,
Parallel,16,1024,443.621526,,,5120,79464.92565,63135.907,59186.61833,59661.94404,52419.68373,313869.0788,
Parallel,16,2048,3794.319483,,,6144,142759.8211,110772.5097,102741.526,102687.4632,91108.71122,550070.0312,
Parallel,16,3072,12954.5956,,,7168,233181.4079,177229.2188,162913.3638,162092.6563,145719.5952,881136.242,
Parallel,16,4096,31791.31503,,,8192,358170.6651,266729.614,242622.6878,240153.2813,221307.31,1328983.558,
Parallel,16,5120,63135.907,,,Grand Total,873945.6673,666851.1011,614568.2594,612083.8517,551768.1328,3319217.012,
Parallel,16,6144,110772.5097,,,,,,,,,,
Parallel,16,7168,177229.2188,,,,,,,,,,
Parallel,16,8192,266729.614,,,,,,,,,,
Parallel,32,1024,419.838674,,,,,,,,,,
Parallel,32,2048,3894.496859,,,,,,,,,,
Parallel,32,3072,12667.91184,,,,,,,,,,
Parallel,32,4096,30121.81607,,,,,,,,,,
Parallel,32,5120,59186.61833,,,,,,8,16,32,64,128
Parallel,32,6144,102741.526,,,,,1024,648.865707,443.621526,419.838674,425.620257,387.148606
Parallel,32,7168,162913.3638,,,,,2048,4286.267231,3794.319483,3894.496859,3659.777236,3346.387366
Parallel,32,8192,242622.6878,,,,,3072,15916.38977,12954.5956,12667.91184,12948.38887,11137.10921
Parallel,64,1024,425.620257,,,,,4096,39517.32482,31791.31503,30121.81607,30454.72054,26342.18744
Parallel,64,2048,3659.777236,,,,,5120,79464.92565,63135.907,59186.61833,59661.94404,52419.68373
Parallel,64,3072,12948.38887,,,,,6144,142759.8211,110772.5097,102741.526,102687.4632,91108.71122
