type,size,cores,blockSize,time,energy,L1_DCM,L2_DCM,FP_INS,TOT_INS
Sequential,1024,16,64,2451.075152,27.609518,275400843,705515,2147483650,33987409751
Sequential,2048,16,64,19336.348282,222.613289,2206934819,5402148,17179869186,271730955098
Sequential,3072,16,64,65854.351911,740.321410,7512992708,17712731,57982058498,916903015028
Sequential,4096,16,64,156950.764769,1678.973246,17935997985,37818866,137438953474,2173175850393
Sequential,5120,16,64,301987.802375,3323.332453,34671883782,79401218,268435456002,4244221743031
Sequential,6144,16,64,516331.115156,6074.503059,60169264376,132250298,463856467970,7333712983212
Sequential,7168,16,64,818678.601626,9620.768822,95176959127,216060238,736586891266,11645321860092
Sequential,8192,16,64,1222326.161630,-51063.941215,143218035696,303683248,1099511627778,17382720673736
SYCL_GPU,1024,16,128,111.914096,1.638282,7691500,1078837,113403,688167551
SYCL_GPU,1024,16,64,100.261542,1.425021,6817818,998906,100515,609036325
SYCL_GPU,1024,16,16,121.618407,1.825971,9093005,1071165,433360,838738466
SYCL_GPU,2048,16,16,88.713016,1.018227,11874410,175979,2189713,1266125447
SYCL_GPU,3072,16,16,225.101955,2.689116,32838044,233703,5361835,3010002893
SYCL_GPU,4096,16,16,532.648137,6.183305,68907697,343297,12789001,6875456003
SYCL_GPU,5120,16,16,1056.994600,15.139201,121744135,440939,23591536,12441960038
SYCL_GPU,6144,16,16,1835.160705,21.234818,208524604,569522,42464509,21946736662
SYCL_GPU,7168,16,16,2926.614812,36.491064,301465828,734895,65223655,33396165660
SYCL_GPU,8192,16,16,4383.046753,51.871814,408600928,882796,96591100,49038014688
SYCL_GPU,1024,16,16,11.775777,0.152016,3167192,124287,356339,252317665
SYCL_GPU,2048,16,16,88.852330,1.000147,13175431,170922,2203327,1272160081
SYCL_GPU,3072,16,16,226.409764,2.455989,30550027,239326,5478310,3066530159
SYCL_GPU,4096,16,16,535.957318,5.824238,66317430,337887,12616426,6793781412
SYCL_GPU,5120,16,16,1060.486028,11.762300,119736781,432085,23717956,12502611329
SYCL_GPU,6144,16,16,1846.117299,22.134292,298534306,574641,36534745,19122920396
SYCL_GPU,7168,16,16,2949.655878,33.646789,300072111,728661,63552151,32598931191
SYCL_GPU,8192,16,16,4429.691609,47.640252,508997170,921031,96848647,49161607596
SYCL_GPU,1024,16,16,11.314386,0.147011,4198986,125688,366533,257160052
SYCL_GPU,2048,16,16,86.699919,1.401371,13035046,174240,1959148,1154923665
SYCL_GPU,3072,16,16,227.063230,2.524359,27857555,262533,5311243,2987620712
SYCL_GPU,4096,16,16,538.271784,6.142565,67259977,326511,12582586,6776982320
SYCL_GPU,5120,16,16,1071.216945,11.024714,132563255,435655,24077989,12674251325
SYCL_GPU,6144,16,16,1860.989870,20.721005,201093582,603838,40947151,21224323342
SYCL_GPU,7168,16,16,2973.121246,32.030280,315389875,758830,64722349,33157130103
SYCL_GPU,8192,16,16,4463.284556,46.957106,473871195,927759,99952249,50636430114
SYCL_GPU,1024,16,32,125.950725,1.704303,9103036,1080061,384611,815325484
SYCL_GPU,2048,16,32,94.525735,1.092610,12139313,175333,2261560,1299114624
SYCL_GPU,3072,16,32,247.718347,2.284794,33267405,250195,5505466,3079465192
SYCL_GPU,4096,16,32,576.850284,5.427271,68773763,328149,13063765,7006663118
SYCL_GPU,5120,16,32,1127.247493,13.286834,121641716,424630,21934531,11652585023
SYCL_GPU,6144,16,32,1950.257717,20.593097,229535888,571507,42300235,21868923201
SYCL_GPU,7168,16,32,3096.592429,32.304879,314221010,755527,65081278,33327462315
SYCL_GPU,8192,16,32,4624.974310,44.823305,516713627,910900,96570757,49028023380
SYCL_GPU,1024,16,32,12.689412,0.147148,3614105,126917,443318,295425803
SYCL_GPU,2048,16,32,88.320214,0.792974,13937838,186052,2061013,1204890974
SYCL_GPU,3072,16,32,247.645589,2.162852,34914099,251691,5651092,3148106669
SYCL_GPU,4096,16,32,578.067199,5.179755,85280492,329750,12954268,6954448818
SYCL_GPU,5120,16,32,1128.951871,12.478756,109605389,469492,24048988,12659840256
SYCL_GPU,6144,16,32,1950.290032,17.540627,286725296,593703,40907938,21205166762
SYCL_GPU,7168,16,32,3097.625346,31.721946,344772394,753816,63759622,32698072062
SYCL_GPU,8192,16,32,4625.334456,43.009800,424436546,926362,98498188,49944675614
SYCL_GPU,1024,16,32,13.098217,0.174903,3987155,126960,402899,276279640
SYCL_GPU,2048,16,32,98.473932,1.047844,13641902,183735,2275174,1305486782
SYCL_GPU,3072,16,32,243.949066,2.132428,33253565,242343,5421631,3039235864
SYCL_GPU,4096,16,32,576.101008,5.240116,60074005,342918,12598444,6784817769
SYCL_GPU,5120,16,32,1127.640309,11.310191,122998947,488046,24402178,12827235939
SYCL_GPU,6144,16,32,1950.555345,17.368624,204076679,569411,42275683,21857004961
SYCL_GPU,7168,16,32,3096.533413,31.875473,320433505,786390,67132879,34305146707
SYCL_GPU,8192,16,32,4626.049776,45.351414,467827026,945752,97921978,49672138536
SYCL_GPU,1024,16,8,127.644419,1.519880,9340703,1079460,427487,837756922
SYCL_GPU,2048,16,8,95.281255,0.818638,14229917,172459,2108110,1226859512
SYCL_GPU,3072,16,8,271.867564,2.387191,44122287,236707,5686117,3165075613
SYCL_GPU,4096,16,8,651.402738,5.680523,73318206,329903,13751086,7333887309
SYCL_GPU,5120,16,8,1306.124846,15.095166,153382802,465875,26875111,14006519789
SYCL_GPU,6144,16,8,2279.339705,19.454987,231875845,572890,48225727,24690919440
SYCL_GPU,7168,16,8,3633.722935,33.055145,411052019,785886,70166134,35750433064
SYCL_GPU,8192,16,8,5430.458625,47.821807,638759290,925929,103084276,52132736920
SYCL_GPU,1024,16,8,12.544505,0.156410,3394419,127056,375791,261815173
SYCL_GPU,2048,16,8,95.442246,0.859636,13599548,180334,2344708,1339196529
SYCL_GPU,3072,16,8,273.746283,2.496239,37931659,255130,5923438,3276983209
SYCL_GPU,4096,16,8,649.679117,5.385403,86390086,325123,13424632,7178705563
SYCL_GPU,5120,16,8,1311.218951,11.253858,137108092,457568,27815131,14454370668
SYCL_GPU,6144,16,8,2285.259089,21.627498,245087083,577642,47065039,24138632827
SYCL_GPU,7168,16,8,3660.480364,32.377491,358162045,744950,75068548,38085514161
SYCL_GPU,8192,16,8,5442.815277,46.387417,509735235,913382,109707208,55287127090
SYCL_GPU,1024,16,8,11.979873,0.177924,3542832,125529,416087,280789478
SYCL_GPU,2048,16,8,94.759942,0.855027,14627293,169442,2285479,1311149338
SYCL_GPU,3072,16,8,266.437555,2.415341,37278997,240209,5931067,3281921026
SYCL_GPU,4096,16,8,639.579128,6.163927,67006961,322848,14573011,7725079330
SYCL_GPU,5120,16,8,1288.625884,11.938210,140207154,484893,28949479,14994502092
SYCL_GPU,6144,16,8,2248.709266,23.536854,263101506,590114,46810690,24016884614
SYCL_GPU,7168,16,8,3591.879790,35.321324,410407675,770802,75173590,38135806074
SYCL_GPU,8192,16,8,5354.966256,50.519773,589181123,945549,113930413,57297798014
SYCL_CPU,1024,16,64,524.745482,9.479261,402230,4824,13,42152480
SYCL_CPU,2048,16,64,1237.074242,30.166409,1584128,4901,13,167987108
SYCL_CPU,3072,16,64,4028.442647,93.532425,3556222,7041,13,377770150
SYCL_CPU,4096,16,64,9263.917288,211.208651,6328882,9762,13,671452275
SYCL_CPU,5120,16,64,19192.768983,418.594839,9876539,13546,13,1049030885
SYCL_CPU,6144,16,64,31552.989161,681.513096,14225397,18623,13,1510510423
SYCL_CPU,7168,16,64,51661.210564,1098.271130,19353924,22846,13,2055886710
SYCL_CPU,8192,16,64,76630.094276,1608.627657,25276995,25919,13,2685160517
SYCL_CPU,1024,16,64,119.622675,3.989631,405408,5024,13,42152250
