type,size,cores,blockSize,time,energy,L1_DCM,L2_DCM,FP_INS,TOT_INS
Sequential,1024,16,32,171.945117,2.110212,192667738,2021747,2147483650,1837441410,140722867598448
Sequential,2048,16,32,1469.067333,17.231806,1557387224,20101210,17179869186,14696050501,140722867598448
Sequential,3072,16,32,5169.528993,57.101402,5333900508,62928622,57982058498,49595567468,140722867598448
Sequential,4096,16,32,12321.456384,133.690168,12611706423,149285002,137438953474,117555659050,140722867598448
Sequential,5120,16,32,23888.215176,250.426136,24831254213,304894094,268435456002,229596007960,140722867598448
Sequential,6144,16,32,41359.271777,430.130848,42803667893,522821691,463856467970,396736297514,140722867598448
Sequential,7168,16,32,66666.240692,630.016736,67477717457,824634722,736586891266,629996211432,140722867598448
Sequential,8192,16,32,101044.381002,879.492542,100276602432,1233585389,1099511627778,940395432705,140722867598448
Sequential,1024,16,64,130.175134,1.341773,189274356,1660627,2147483650,1365722741,140734380920304
Sequential,2048,16,64,1088.687550,9.522975,1509154114,13978228,17179869186,10922411551,140734380920304
Sequential,3072,16,64,3726.922408,31.911298,5107809399,43941224,57982058498,36859658540,140734380920304
Sequential,4096,16,64,8898.160628,75.961678,12141294953,108750638,137438953474,87366982726,140734380920304
Sequential,5120,16,64,17183.225702,146.901308,23575460218,208394242,268435456002,170633918863,140734380920304
Sequential,6144,16,64,29812.924644,252.184712,40769721845,367598926,463856467970,294850002377,140734380920304
Sequential,7168,16,64,46487.319212,421.370955,64681029992,578179413,736586891266,468204767202,140734380920304
Sequential,8192,16,64,70912.436580,592.565425,96807054807,887833018,1099511627778,698887751231,140734380920304
Sequential,1024,16,128,113.153448,1.260494,160162458,2883207,2147483650,1134722357,140725944260256
Sequential,2048,16,128,936.538707,8.636165,1281255951,19580650,17179869186,9074436737,140725944260256
Sequential,3072,16,128,3107.547791,32.185194,4336651581,79819068,57982058498,30622774745,140725944260256
Sequential,4096,16,128,7305.171734,80.589613,10284022038,168534002,137438953474,72583294539,140725944260256
Sequential,5120,16,128,14540.980618,143.908573,20024740599,308565173,268435456002,141759571020,140725944260256
Sequential,6144,16,128,25354.550821,245.956336,34594383616,596082437,463856467970,244955178433,140725944260256
Sequential,7168,16,128,40472.339938,379.671360,54942616860,896347081,736586891266,388973691280,140725944260256
Sequential,8192,16,128,62273.465948,568.887328,82480133792,1472670474,1099511627778,580618685693,140725944260256
Sequential,1024,16,256,143.135775,2.082717,155761421,64908471,2147483650,1020371083,140720728987120
Sequential,2048,16,256,1220.352697,13.171316,1248464912,513186766,17179869186,8159634029,140720728987120
Sequential,3072,16,256,4179.871444,42.898935,4205141915,1728581897,57982058498,27535323689,140720728987120
Sequential,4096,16,256,10389.836619,98.918880,10057301787,4217539334,137438953474,65264902016,140720728987120
Sequential,5120,16,256,20182.387420,185.860368,19477152143,8034020245,268435456002,127465846069,140720728987120
Sequential,6144,16,256,34239.648444,338.466658,33717182003,13882220868,463856467970,220255633257,140720728987120
Sequential,7168,16,256,54259.689860,522.244187,53432452038,21944663567,736586891266,349751742058,140720728987120
Sequential,8192,16,256,94713.621822,911.909338,85470539145,36384942563,1099511627778,522071663616,140720728987120
Parallel,1024,16,32,26.383383,1.582682,13036030,195029,134217730,122187106,140732781088208
Parallel,2048,16,32,246.619412,8.201373,103433066,1273163,1073741826,970668048,140732781088208
Parallel,3072,16,32,919.341008,26.608549,349536845,3633004,3623878658,3271073621,140732781088208
Parallel,4096,16,32,2224.491553,61.142986,827415182,9269448,8589934594,7746762479,140732781088208
Parallel,5120,16,32,4410.957224,116.579375,1627455805,17117986,16777216002,15121627640,140732781088208
Parallel,6144,16,32,7851.298120,199.436387,2810538898,29260806,28991029250,26125096105,140732781088208
Parallel,7168,16,32,12641.324890,315.451628,4470300074,48297713,46036680706,41481308493,140732781088208
Parallel,8192,16,32,18842.348231,457.657103,6646646886,76542910,68719476738,61909734670,140732781088208
Parallel,1024,16,64,23.734857,1.488296,14248315,271760,134217730,90732349,140730298084800
Parallel,2048,16,64,184.189723,6.207733,93087399,2205621,1073741826,719876475,140730298084800
Parallel,3072,16,64,681.805875,18.899886,326313933,4193565,3623878658,2421419555,140730298084800
Parallel,4096,16,64,1638.483243,42.517745,768324810,10907968,8589934594,5735287745,140730298084800
Parallel,5120,16,64,3243.434133,81.497006,1490309985,20496791,16777216002,11197043939,140730298084800
Parallel,6144,16,64,5680.903015,139.174520,2577472527,34995107,28991029250,19345244652,140730298084800
Parallel,7168,16,64,9115.172219,218.315874,4081186188,53447537,46036680706,30710155162,140730298084800
Parallel,8192,16,64,13822.747920,326.470376,6136945629,89116270,68719476738,45836747879,140730298084800
Parallel,1024,16,128,23.606370,1.440096,11621604,151329,134217730,75402964,140721489155936
Parallel,2048,16,128,193.097994,6.450473,84839885,1087608,1073741826,597072952,140721489155936
Parallel,3072,16,128,702.488745,19.904244,283493625,3719371,3623878658,2006689902,140721489155936
Parallel,4096,16,128,1562.846812,40.518520,674517166,23538476,8589934594,4749706690,140721489155936
Parallel,5120,16,128,3293.861597,84.459103,1329315954,213747890,16777216002,9270105478,140721489155936
Parallel,6144,16,128,5662.923181,141.477074,2259180560,118112780,28991029250,16011867719,140721489155936
Parallel,7168,16,128,9269.951518,229.944056,3556171075,581123258,46036680706,25418976122,140721489155936
Parallel,8192,16,128,16819.874656,395.860281,5594354596,791301547,68719476738,37935414778,140721489155936
Parallel,1024,16,128,21.474524,1.447557,11224361,115270,134217730,75258707,140725415569520
Parallel,2048,16,128,181.458892,7.088897,85121483,1873614,1073741826,596953351,140725415569520
Parallel,3072,16,128,678.281395,21.903287,285175541,31076918,3623878658,2006104077,140725415569520
Parallel,4096,16,128,1696.997009,50.388690,672729659,27147174,8589934594,4749706600,140725415569520
Parallel,5120,16,128,3402.748246,98.861556,1325367453,211343057,16777216002,9270105366,140725415569520
Parallel,6144,16,128,5903.772447,163.964986,2252983714,55243810,28991029250,16011867617,140725415569520
Parallel,7168,16,128,9698.916023,263.634514,3552462164,601849632,46036680706,25416876478,140725415569520
Parallel,8192,16,128,15767.192484,402.877648,5689242551,1185522841,68719476738,37935413490,140725415569520
Parallel,1024,16,256,36.579322,1.465439,10508077,1267398,134217730,67168889,140736532821600
Parallel,2048,16,256,256.444370,7.952577,79128409,9254829,1073741826,535818641,140736532821600
Parallel,3072,16,256,930.604623,28.653563,252101806,68963945,3623878658,1799956834,140736532821600
Parallel,4096,16,256,1963.484391,56.848821,649527125,120278805,8589934594,4257603043,140736532821600
Parallel,5120,16,256,4333.308955,127.201659,1168360774,335672313,16777216002,8313008293,140736532821600
Parallel,6144,16,256,6936.071647,196.239988,2062106349,541995207,28991029250,14358003886,140736532821600
Parallel,7168,16,256,11439.310521,321.531864,3346493301,484761919,46036680706,22792701345,140736532821600
Parallel,8192,16,256,17098.057952,460.530581,5112520970,1369152410,68719476738,34015142414,140736532821600
Parallel,1024,16,64,23.239822,1.529813,13901314,124087,134217730,90499781,140732046182672
Parallel,2048,16,64,189.615989,6.834974,97730789,1212329,1073741826,718432264,140732046182672
Parallel,3072,16,64,678.916760,20.254675,317596312,5924872,3623878658,2422438459,140732046182672
Parallel,4096,16,64,1674.941450,47.244154,765917691,11221450,8589934594,5735275980,140732046182672
Parallel,5120,16,64,3317.702855,90.790913,1465233019,28628248,16777216002,11199143211,140732046182672
Parallel,6144,16,64,5750.723552,153.939473,2560078127,41556265,28991029250,19343706673,140732046182672
Parallel,7168,16,64,9313.984815,245.307642,4088369173,55202799,46036680706,30711345136,140732046182672
Parallel,8192,16,64,13967.270421,362.184334,6139009648,88921020,68719476738,45836747952,140732046182672
Parallel,1024,15,64,23.479894,1.518979,14089674,285036,143654914,96812000,140729833270576
Parallel,2048,15,64,202.965641,6.760728,95920711,2299292,1145569282,766290060,140729833270576
Parallel,3072,15,64,701.025003,20.176385,320823903,7944424,3865575426,2583398604,140729833270576
Parallel,4096,15,64,1733.505974,47.686056,803070637,17992790,9162981378,6117357748,140729833270576
Parallel,5120,15,64,3332.713179,90.291214,1528586992,30823325,17896046594,11944619330,140729833270576
Parallel,6144,15,64,5726.636500,158.164962,2589773025,61993551,30924079106,20633235163,140729833270576
Parallel,7168,15,64,9436.752571,247.940822,4080041369,96678989,49105862658,32757249826,140729833270576
Parallel,8192,15,64,14275.584895,368.918742,6108693263,149793838,73301229570,48889569116,140729833270576
Parallel,1024,14,64,27.908341,1.716586,16120132,315690,153616386,103610999,140729693009520
Parallel,2048,14,64,207.741546,6.815672,103327211,2482482,1227358210,821388292,140729693009520
Parallel,3072,14,64,690.503885,20.922990,348830285,7830032,4141875202,2766403255,140729693009520
Parallel,4096,14,64,1697.150130,48.208002,846233152,17424965,9817292802,6555162756,140729693009520
Parallel,5120,14,64,3345.367139,89.793254,1614129581,37830534,19174260738,12794193955,140729693009520
Parallel,6144,14,64,5795.671675,154.582994,2772039551,65857250,33132904450,22104975653,140729693009520
Parallel,7168,14,64,9303.577913,237.922572,4684122640,64326646,52613349378,35092235464,140729693009520
Parallel,8192,14,64,13883.136976,368.579770,6549581874,159359126,78536769538,52377811708,140729693009520
Parallel,1024,13,64,26.349235,1.622918,16904373,353258,165675010,111372108,140735753480448
Parallel,2048,13,64,206.895494,7.034929,114771362,2295130,1321730050,885765843,140735753480448
Parallel,3072,13,64,718.410865,20.916033,383575206,7325187,4460642306,2980897681,140735753480448
Parallel,4096,13,64,1770.710579,47.801254,913808267,20031128,10572267522,7056102604,140735753480448
Parallel,5120,13,64,3429.442963,93.263487,1776231238,38661454,20649082882,13776867890,140735753480448
Parallel,6144,13,64,5995.619573,158.345891,3106360784,66435177,35681468418,23803083887,140735753480448
Parallel,7168,13,64,9532.137831,253.546352,4952083161,105464214,56660852738,37789332758,140735753480448
Parallel,8192,13,64,14638.251316,367.447611,7318956490,163219311,84578140162,56401890365,140735753480448
Parallel,1024,12,64,26.509845,1.616539,17354871,377681,179306498,120321398,140730887894992
Parallel,2048,12,64,211.200162,7.139798,123801647,2492855,1431830530,959125645,140730887894992
Parallel,3072,12,64,692.455740,20.280568,433124721,6349366,4831838210,3228225395,140730887894992
Parallel,4096,12,64,1704.611690,47.993276,975226422,21485521,11453595650,7643331316,140730887894992
Parallel,5120,12,64,3293.722942,91.304193,1907390170,38475499,22369796098,14925478686,140730887894992
Parallel,6144,12,64,5831.543548,149.117975,3443821509,52258472,38654705666,25783257085,140730887894992
Parallel,7168,12,64,9199.147928,245.008463,5224382441,113962507,61382590466,40937232253,140730887894992
Parallel,8192,12,64,14141.505072,356.834238,8194383411,122536779,91626143746,61097371257,140730887894992
Parallel,1024,11,64,29.459961,1.717151,20294965,374325,195559426,131261002,140726726643456
Parallel,2048,11,64,210.536256,7.325716,144350759,2046604,1561853954,1045760265,140726726643456
Parallel,3072,11,64,718.236132,21.248657,452196155,8713928,5271191554,3518866598,140726726643456
Parallel,4096,11,64,1757.772288,49.550126,1072232245,21715717,12494831618,8339206881,140726726643456
Parallel,5120,11,64,3474.789786,94.282249,2143904781,37584440,24403509250,16280541504,140726726643456
Parallel,6144,11,64,6136.668951,157.597319,3777178746,56206188,42169008130,28125729369,140726726643456
Parallel,7168,11,64,9574.250654,254.902238,5712052445,116296537,66962587650,44653377468,140726726643456
Parallel,8192,11,64,14561.239453,378.671870,8733853411,170988695,99956031490,66649661207,140726726643456
Parallel,1024,10,64,28.264957,1.579707,21099655,426685,214958082,144096787,140720685428416
Parallel,2048,10,64,217.660846,7.163570,154402240,2335822,1718091778,1149861469,140720685428416
Parallel,3072,10,64,785.786019,21.156514,521524639,7548664,5798625282,3872395490,140720685428416
Parallel,4096,10,64,1900.522329,48.784159,1238094832,18505010,13744209922,9171667192,140720685428416
Parallel,5120,10,64,3742.605484,91.457291,2387853467,36584974,26843545602,17906337648,140720685428416
Parallel,6144,10,64,6362.982583,163.129580,4020214502,74446083,46385856514,30935416624,140720685428416
Parallel,7168,10,64,10254.142700,255.613551,6262076525,128130403,73658793986,49116866801,140720685428416
Parallel,8192,10,64,15366.125789,385.086790,9407521695,200896985,109951582210,73309697008,140720685428416
Parallel,1024,9,64,32.415937,1.660666,24022419,461090,239075330,160109899,140720607026928
Parallel,2048,9,64,238.206566,7.418623,167545197,3185367,1908932610,1274918731,140720607026928
Parallel,3072,9,64,822.215485,21.290784,580584391,10223030,6442450946,4301376514,140720607026928
Parallel,4096,9,64,2000.199425,50.492873,1323581051,26347675,15271460866,10187175047,140720607026928
Parallel,5120,9,64,3904.321172,96.430224,2541385514,50252653,29826220034,19891594187,140720607026928
Parallel,6144,9,64,6544.891961,162.301803,4602527643,76650614,51539607554,34369360278,140720607026928
Parallel,7168,9,64,10989.416746,261.542551,7113718243,138737713,81843453954,54568335872,140720607026928
Parallel,8192,9,64,15465.807903,380.592744,10902043501,178659921,122168016898,81449504454,140720607026928
Parallel,1024,8,64,23.932757,1.518675,28396208,415724,268435458,180018285,140737382754240
Parallel,2048,8,64,184.343838,6.368628,196385725,3536070,2147483650,1433915358,140737382754240
Parallel,3072,8,64,653.640684,18.776342,651602746,12390033,7247757314,4835930568,140737382754240
Parallel,4096,8,64,1620.217943,43.962814,1547864069,28992544,17179869186,11459615845,140737382754240
Parallel,5120,8,64,3201.441492,84.231362,2995176291,53738165,33554432002,22375713284,140737382754240
Parallel,6144,8,64,5640.937239,145.970494,5186301239,91541814,57982058498,38659865775,140737382754240
Parallel,7168,8,64,9095.907764,232.568921,8206207617,141405626,92073361410,61386490333,140737382754240
Parallel,8192,8,64,13761.992746,347.128289,12293450208,219208339,137438953474,91624193486,140737382754240
Parallel,1024,7,64,22.759645,1.453050,30542257,474202,307232770,205805845,140729736476928
Parallel,2048,7,64,215.693222,6.831114,223030417,3134818,2454716418,1639111848,140729736476928
Parallel,3072,7,64,757.057894,20.621461,743729418,10772612,8283226114,5525785128,140729736476928
Parallel,4096,7,64,1829.256842,48.149762,1763573135,26585293,19634585602,13094961906,140729736476928
Parallel,5120,7,64,3606.808999,91.829861,3420269551,51746006,38347997186,25571753545,140729736476928
Parallel,6144,7,64,6320.361175,158.769225,5922896846,90762148,66265284610,44181078611,140729736476928
Parallel,7168,7,64,10033.102000,243.390840,9372140114,165789043,105226698754,70148459304,140729736476928
Parallel,8192,7,64,15184.230397,369.974672,14045796135,218957255,157073539074,104707052202,140729736476928
Parallel,1024,6,64,27.397877,1.580165,35147126,564451,358088706,240148714,140735447956896
Parallel,2048,6,64,234.764089,6.887598,257154883,4216367,2863661058,1911564716,140735447956896
Parallel,3072,6,64,816.079066,20.644562,866450313,16666639,9663676418,6445605756,140735447956896
Parallel,4096,6,64,2052.073258,50.277078,2061359712,33011547,22906667010,15274530744,140735447956896
Parallel,5120,6,64,4056.907848,96.344581,3990942988,62983126,44739592194,29830310118,140735447956896
Parallel,6144,6,64,6984.314862,162.240969,6907428461,120998711,77309411330,51537690632,140735447956896
Parallel,7168,6,64,11309.838353,262.774497,10945516724,175989302,122764656642,81835020386,140735447956896
Parallel,8192,6,64,17091.133291,394.196579,16406572285,278263111,183252287490,122149529083,140735447956896
Parallel,1024,5,64,30.209240,1.420581,39916214,677459,429916162,288221237,140730534394768
Parallel,2048,5,64,287.428415,7.135572,308993948,4101406,3436183554,2292526039,140730534394768
Parallel,3072,5,64,1004.552600,21.986595,1034478780,14891858,11596726274,7733570565,140730534394768
Parallel,4096,5,64,2441.786353,52.061501,2463838498,37361581,27487895554,18329085596,140730534394768
Parallel,5120,5,64,4679.492641,96.805586,4780753474,85861573,53687091202,35790106630,140730534394768
Parallel,6144,5,64,8360.112714,173.257214,8289665933,129252761,92771713026,61842312147,140730534394768
Parallel,7168,5,64,13260.673521,274.609670,13121092328,205896364,147317587970,98195718152,140730534394768
Parallel,8192,5,64,19999.363607,411.325469,19697973106,313815284,219902640130,146567982094,140730534394768
Parallel,1024,4,64,35.919513,1.366125,48276278,815511,536870914,359370415,140729355271568
Parallel,2048,4,64,315.712724,7.591786,383127006,6865136,4294967298,2864786749,140729355271568
Parallel,3072,4,64,1113.386507,24.858334,1296023929,24149647,14495514626,9665033560,140729355271568
Parallel,4096,4,64,2678.765325,58.686952,3088701044,59622911,34359738370,22905697495,140729355271568
Parallel,5120,4,64,5298.318089,114.848064,5971203984,106988836,67108864002,44733021553,140729355271568
Parallel,6144,4,64,9260.810748,199.296486,10353343727,185134245,115964116994,77293310339,140729355271568
Parallel,7168,4,64,14873.851475,319.395897,16402893987,282166412,184146722818,122734389593,140729355271568
Parallel,8192,4,64,22529.274829,479.880289,24555013643,427248802,274877906946,183197999015,140729355271568
Parallel,1024,3,64,46.097004,1.515486,64031201,1143915,716177410,479229907,140722300386656
Parallel,2048,3,64,430.212339,8.295882,511446709,7271499,5726797826,3818762738,140722300386656
Parallel,3072,3,64,1454.128189,26.225710,1727002171,33094922,19327352834,12884487886,140722300386656
Parallel,4096,3,64,3632.395554,65.470659,4113224678,59448661,45813334018,30537226288,140722300386656
Parallel,5120,3,64,7045.422871,127.102085,7964324220,117438507,89478660098,59638015508,140722300386656
Parallel,6144,3,64,12026.915817,213.990887,13799549433,250224487,154618822658,103048941438,140722300386656
Parallel,7168,3,64,19441.314551,351.287681,21855392310,335819089,245529313282,163632089220,140722300386656
Parallel,8192,3,64,29210.508225,527.639919,32774089013,510717615,366504050690,244248497010,140722300386656
Parallel,1024,2,64,68.266414,1.506514,95600093,1671940,1073741826,717321617,140722986762672
Parallel,2048,2,64,574.772604,9.892143,764517048,13129373,8589934594,5726471436,140722986762672
Parallel,3072,2,64,1980.633026,33.074599,2582280340,45022811,28991029250,19323396521,140722986762672
Parallel,4096,2,64,4753.067986,79.297352,6168257814,114915497,68719476738,45799590311,140722986762672
Parallel,5120,2,64,9247.954436,152.638087,11919577725,211237243,134217728002,89447657057,140722986762672
Parallel,6144,2,64,16176.109127,267.876832,20671386788,368911541,231928233986,154560201375,140722986762672
Parallel,7168,2,64,25824.413393,425.910714,32727645602,567750934,368293445634,245429827459,140722986762672
Parallel,8192,2,64,39103.848301,646.345023,49048737212,841117738,549755813890,366349140129,140722986762672
